"effort","t01","t02","t03","t04","t05","t06","t07","t08","t09","t10","t11","t12","t13","t14","t15","size","nlan","app","har"
1062,"high","medium","medium","low","medium","high","high","high","medium","medium","low","high","medium","high","medium",562,1,"InfServ","PC"
7871,"high","medium","high","medium","medium","medium","high","very high","high","very high","high","high","high","high","high",647,3,"TransPro","Mainfrm"
845,"low","medium","medium","medium","medium","medium","low","low","high","medium","high","high","high","high","high",130,3,"TransPro","Mainfrm"
2330,"medium","medium","low","medium","medium","high","low","medium","high","very high","high","medium","low","medium","medium",254,2,"InfServ","Mainfrm"
21272,"low","low","high","low","low","low","medium","very high","high","high","very high","high","medium","low","medium",1056,3,"CustServ","Mainfrm"
4224,"medium","medium","medium","high","medium","medium","high","medium","high","high","medium","high","high","high","high",383,2,"TransPro","Mainfrm"
2826,"low","medium","medium","medium","medium","medium","low","low","high","high","high","high","high","high","high",345,4,"TransPro","Multi"
7320,"high","medium","high","high","medium","low","medium","very high","very high","very high","medium","high","high","low","medium",209,2,"TransPro","Mainfrm"
9125,"low","medium","medium","low","low","low","high","very high","high","medium","medium","medium","medium","low","medium",366,1,"TransPro","Mainfrm"
11900,"high","medium","medium","low","low","low","high","very high","medium","low","low","low","medium","high","low",1181,2,"TransPro","Mini"
4300,"low","medium","low","medium","medium","medium","low","very high","medium","high","low","medium","low","medium","medium",181,2,"InfServ","Mainfrm"
4150,"high","medium","high","low","medium","low","medium","medium","medium","low","low","low","low","low","low",739,1,"TransPro","Network"
900,"low","low","low","high","medium","medium","low","high","high","medium","high","high","low","high","low",108,2,"CustServ","PC"
583,"low","medium","medium","high","low","low","low","high","high","medium","very high","medium","medium","high","low",48,3,"CustServ","Network"
2565,"low","medium","low","high","medium","medium","medium","very high","high","medium","medium","high","low","high","medium",249,2,"InfServ","Mainfrm"
4047,"medium","high","medium","medium","medium","medium","medium","medium","very high","very high","low","high","medium","medium","medium",371,2,"TransPro","Mainfrm"
1520,"low","medium","low","high","medium","medium","high","high","high","medium","low","high","medium","medium","medium",211,1,"TransPro","Mainfrm"
25910,"high","low","medium","medium","medium","high","high","very high","high","high","high","high","medium","medium","high",1849,4,"TransPro","Mainfrm"
37286,"high","medium","high","medium","high","high","high","high","very high","high","very high","very high","medium","low","high",2482,4,"TransPro","Mainfrm"
15052,"medium","low","medium","medium","medium","low","high","very high","high","high","high","high","high","low","medium",434,4,"CustServ","Multi"
11039,"high","medium","high","high","high","low","medium","high","very high","very high","medium","high","high","low","medium",292,3,"TransPro","Mainfrm"
18500,"high","high","low","medium","medium","medium","high","medium","high","high","very high","medium","low","medium","medium",2954,4,"CustServ","Multi"
9369,"high","medium","low","high","medium","medium","high","high","very high","high","medium","high","low","high","medium",304,1,"TransPro","Multi"
7184,"high","medium","low","medium","low","medium","low","high","high","high","low","low","medium","medium","medium",353,1,"TransPro","Network"
10447,"low","low","low","high","medium","medium","high","high","very high","very high","very high","high","low","low","high",567,4,"TransPro","Mainfrm"
5100,"high","medium","high","medium","medium","medium","medium","medium","high","high","medium","medium","low","medium","medium",467,3,"TransPro","Mainfrm"
63694,"high","medium","medium","high","medium","medium","high","very high","high","high","high","high","high","low","high",3368,3,"TransPro","Mainfrm"
1651,"medium","medium","medium","high","medium","high","low","high","high","medium","low","high","high","low","high",253,2,"CustServ","Mainfrm"
1450,"low","high","low","medium","medium","high","low","medium","low","medium","low","high","low","high","medium",196,3,"ProdCont","Multi"
1745,"medium","high","low","medium","medium","high","medium","very high","medium","medium","medium","high","high","high","medium",185,4,"InfServ","Mainfrm"
1798,"low","high","medium","low","low","low","medium","high","very high","high","high","high","medium","medium","high",387,2,"CustServ","Mainfrm"
2957,"low","medium","medium","medium","medium","low","high","very high","medium","low","medium","medium","medium","high","medium",430,2,"MIS","Mainfrm"
963,"medium","high","low","medium","medium","medium","medium","high","medium","high","low","high","medium","medium","medium",204,2,"TransPro","Mainfrm"
1233,"medium","medium","medium","high","medium","medium","low","medium","high","low","medium","high","low","high","medium",71,1,"TransPro","Mainfrm"
3240,"high","low","high","medium","high","medium","high","very high","very high","high","medium","very high","high","high","high",840,3,"InfServ","Multi"
10000,"high","low","high","medium","high","medium","high","medium","very high","very high","high","very high","medium","high","high",1648,4,"TransPro","Multi"
6800,"high","low","high","medium","high","medium","high","medium","very high","very high","high","very high","medium","high","high",1035,4,"TransPro","Multi"
3850,"medium","medium","high","low","medium","low","medium","high","medium","medium","medium","high","high","medium","medium",548,1,"CustServ","Mainfrm"
14000,"high","medium","high","high","high","medium","medium","high","high","high","very high","very high","high","medium","high",2054,3,"CustServ","Multi"
5787,"low","medium","low","high","medium","medium","medium","high","medium","medium","medium","medium","low","high","medium",302,2,"MIS","Mainfrm"
9700,"high","low","low","medium","high","high","high","low","high","low","high","medium","high","medium","high",1172,3,"CustServ","Multi"
1100,"medium","medium","medium","low","low","medium","medium","medium","high","medium","medium","high","high","high","medium",253,1,"InfServ","Network"
5578,"medium","high","low","high","medium","medium","medium","medium","very high","very high","medium","medium","low","medium","medium",227,2,"TransPro","Mainfrm"
1060,"high","medium","medium","medium","medium","medium","low","medium","high","medium","medium","high","medium","medium","medium",59,3,"TransPro","Mainfrm"
5279,"medium","medium","high","high","high","high","medium","high","high","medium","very high","high","medium","low","medium",299,4,"InfServ","Mainfrm"
8117,"medium","medium","medium","high","medium","medium","medium","medium","very high","medium","high","high","medium","low","high",422,1,"CustServ","Mainfrm"
8710,"high","high","medium","high","high","high","high","medium","high","high","medium","very high","low","high","high",1058,3,"TransPro","Network"
796,"high","low","low","medium","medium","low","high","high","high","high","medium","high","high","high","medium",65,3,"InfServ","Network"
11023,"high","high","medium","medium","low","medium","high","very high","very high","high","high","high","medium","high","high",390,3,"CustServ","Multi"
1755,"high","high","low","medium","high","medium","low","low","medium","medium","medium","medium","low","high","high",193,2,"TransPro","Mainfrm"
